Date : 2025-02-24 13:52:40
Directory : /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere
Total : 194 files,  52370 codes, 50 comments, 817 blanks, all 53237 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         38 |     23,275 |         10 |        143 |     23,428 |
| JSON           |          3 |     18,120 |          0 |          3 |     18,123 |
| JavaScript JSX |        145 |     10,854 |         17 |        626 |     11,497 |
| CSS            |          2 |         47 |          0 |          8 |         55 |
| Markdown       |          1 |         38 |          0 |         33 |         71 |
| HTML           |          1 |         20 |         23 |          1 |         44 |
| XML            |          4 |         16 |          0 |          3 |         19 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        194 |     52,370 |         50 |        817 |     53,237 |
| . (Files)                                                                                                                                               |          3 |     18,133 |          0 |         35 |     18,168 |
| public                                                                                                                                                  |          2 |         45 |         23 |          2 |         70 |
| src                                                                                                                                                     |        189 |     34,192 |         27 |        780 |     34,999 |
| src (Files)                                                                                                                                             |          9 |        167 |          9 |         29 |        205 |
| src/assets                                                                                                                                              |          3 |         15 |          0 |          3 |         18 |
| src/assets/images                                                                                                                                       |          3 |         15 |          0 |          3 |         18 |
| src/assets/images/icon                                                                                                                                  |          2 |          6 |          0 |          2 |          8 |
| src/assets/images/logo                                                                                                                                  |          1 |          9 |          0 |          1 |         10 |
| src/common                                                                                                                                              |          9 |        388 |          1 |         33 |        422 |
| src/common/manager                                                                                                                                      |          9 |        388 |          1 |         33 |        422 |
| src/common/manager/authManager                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| src/common/manager/contextManager                                                                                                                       |          3 |         88 |          1 |         20 |        109 |
| src/common/manager/jobManager                                                                                                                           |          1 |         17 |          0 |          2 |         19 |
| src/common/manager/projectManager                                                                                                                       |          1 |        203 |          0 |          4 |        207 |
| src/common/manager/reviewManager                                                                                                                        |          1 |         30 |          0 |          2 |         32 |
| src/common/manager/searchManager                                                                                                                        |          1 |         36 |          0 |          2 |         38 |
| src/common/manager/userManager                                                                                                                          |          1 |         14 |          0 |          2 |         16 |
| src/components                                                                                                                                          |        107 |      6,793 |          1 |        438 |      7,232 |
| src/components/animations                                                                                                                               |          2 |         29 |          0 |          8 |         37 |
| src/components/buttons                                                                                                                                  |         15 |        566 |          0 |         52 |        618 |
| src/components/icon                                                                                                                                     |         19 |        440 |          0 |         57 |        497 |
| src/components/input                                                                                                                                    |         11 |        989 |          0 |         80 |      1,069 |
| src/components/input (Files)                                                                                                                            |          4 |        366 |          0 |         31 |        397 |
| src/components/input/chip                                                                                                                               |          1 |         28 |          0 |          2 |         30 |
| src/components/input/dropdown                                                                                                                           |          1 |        158 |          0 |          6 |        164 |
| src/components/input/otp                                                                                                                                |          1 |         85 |          0 |         12 |         97 |
| src/components/input/search                                                                                                                             |          2 |        198 |          0 |         15 |        213 |
| src/components/input/textarea                                                                                                                           |          2 |        154 |          0 |         14 |        168 |
| src/components/logo                                                                                                                                     |          1 |         33 |          0 |          3 |         36 |
| src/components/menubar                                                                                                                                  |          4 |        646 |          0 |         19 |        665 |
| src/components/menubar (Files)                                                                                                                          |          3 |        356 |          0 |         12 |        368 |
| src/components/menubar/sideMenuBar                                                                                                                      |          1 |        290 |          0 |          7 |        297 |
| src/components/spacer                                                                                                                                   |          2 |         12 |          0 |          5 |         17 |
| src/components/textBlocks                                                                                                                               |          4 |        121 |          0 |         13 |        134 |
| src/components/widget                                                                                                                                   |         49 |      3,957 |          1 |        201 |      4,159 |
| src/components/widget/application                                                                                                                       |          4 |        485 |          0 |         15 |        500 |
| src/components/widget/chat                                                                                                                              |          3 |        195 |          0 |         12 |        207 |
| src/components/widget/chip                                                                                                                              |          5 |        168 |          0 |         17 |        185 |
| src/components/widget/common                                                                                                                            |          1 |         13 |          0 |          3 |         16 |
| src/components/widget/duration                                                                                                                          |          2 |        134 |          0 |          6 |        140 |
| src/components/widget/education                                                                                                                         |          2 |        161 |          0 |         11 |        172 |
| src/components/widget/experience                                                                                                                        |          2 |        169 |          0 |         12 |        181 |
| src/components/widget/job                                                                                                                               |          5 |        440 |          0 |         17 |        457 |
| src/components/widget/job (Files)                                                                                                                       |          2 |        316 |          0 |          8 |        324 |
